,player_positions,player_fifa_api_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,player_positions_general
1294,"CM, CDM",169571,-0.7168157738355636,0.07638324271002721,-0.2596172473906173,0.06848418204671987,-0.4956220295692481,0.23706648433177063,-0.2309712294258444,0.05529862942276421,1.2374741757147498,0.13632291751785455,MID
1295,ST,190497,-0.017707345967837282,0.5779453935612859,-0.28748785417681283,-0.7795202466483254,-0.1340757361499279,-0.03398710833475643,-0.22386340907846242,-0.2705074468023167,-0.051316490907449226,-0.17878591299505028,ATK
1296,"CM, CDM",178556,-0.6242498990817656,-0.23123071379027677,-0.2511445986885734,-0.6238622369629478,-0.3339245200278346,-0.0653902525177046,-0.15105215977120798,0.16404579411291126,0.07114568760204333,0.2927529385303408,MID
1297,ST,195859,-0.9042696041117835,0.950097487332463,-0.6625005994153017,0.8349109027943205,0.6235599756735567,-0.41984215576931805,-0.23979646703091875,-0.31230854285162385,-0.16302355940417843,-0.37676223486590177,ATK
1298,"CM, CDM",189410,-1.0085576804156193,-0.03435288261385685,-0.5826155766758074,1.1575982402150033,0.3952637679536676,-0.4886768569479906,0.04847562886325193,0.12425279063797037,-0.04533408049764722,0.10835108009015995,MID
1299,"LB, CM",152724,-0.23197749671466028,-0.519205668199722,1.107260260336282,-0.3984026032690439,0.049085507955081216,0.13494571460012025,-0.034957298330421174,-0.18068640838917888,0.01300457140155328,0.39302076678745,MID
1300,LB,169595,-1.3364502267784248,0.012173503705186665,1.1695424691993217,0.7271359649797265,-0.40939068784564775,-0.137421881506757,0.08349030153495479,0.32752603138980596,-0.07102643303887116,-0.13469545583997206,DEF
1301,"RB, RWB",169600,-0.3729391608830717,-0.7383420871437478,-0.2240729955248675,-0.34345034230994437,-0.4757989662091098,-0.10181450286643573,0.2876239766634247,0.1085439092289915,-0.09336626369126014,-0.22516579592021232,DEF
1302,GK,207998,4.068685934653179,0.18516468278503365,-0.1415193076945016,0.1519585238725083,-0.025386579919079263,-0.13996769005239,0.019893975743990596,0.1325518518588588,0.0576078465199849,0.17713965276008659,GK
1303,"ST, LM",186146,-1.1924156093454086,0.959840459798935,-0.6761914732965726,0.7742681957660296,0.6320548663919849,-0.38657276811980423,-0.4904872953068439,-0.148342067561697,-0.17907755200989844,-0.323556491591202,MID
1304,CB,158625,-0.8733724614669757,-1.0104647547501824,1.083031264881904,-0.31815143083822833,-0.07779005821197364,0.13595491460932366,-0.2886394772801548,0.3760924764619549,-0.06933361825295536,-0.012880464404509604,DEF
1305,"CB, RB, LB",192621,-0.1501140276807572,-1.0538755136716322,-0.6298181041118794,0.24324866866498931,0.6875778443974957,-0.23231806703126293,0.20055229285868098,-0.3044739326807616,-0.24375890334068748,-0.2553395327032933,DEF
1306,"CM, CDM",223396,0.001200335459899433,-0.37458101297239443,-0.2589628346048974,-0.45914044522657455,-0.3451292302989978,0.20587685551329785,0.08193935206638664,-0.43828758762891645,-0.12873306275065038,0.20266893930141683,MID
1307,CB,7647,0.3177300544345889,-1.390052045543554,-0.6502855829198333,1.2320278365551434,0.4636171719463599,0.5009860344085169,-0.33026447072361287,-0.23548220469427672,0.790976654965677,-0.05066065430173088,DEF
1308,CB,211067,0.5380467856795796,-0.9374157186090969,-0.22470734118645472,-0.12679955936272053,-0.46652863995077154,0.24892909018775095,0.33498090129044683,-0.3201877436452064,-0.24769700381020837,-0.2585317823334791,DEF
1309,CB,193706,0.10884655660054027,-0.7616856552920993,-0.6572762910882657,0.9813860334286072,0.5795728633464187,0.3906699819879817,-0.3601088864190457,-0.45522132311256785,0.7844958466482032,-0.08086400667465725,DEF
