,LDA_PC1,LDA_PC2,LDA_PC3,player_fifa_api_id,player_positions,player_positions_general
921,-3.1799613450343647,0.19873554889036793,1.5859560558135093,189858,"CM, CDM",MID
922,-2.6726809496609403,-2.2705214654053743,-0.2772164582650462,177564,"LB, LM",MID
923,-1.9738668981145742,2.391920920525853,0.15666262448697219,216749,"LM, RM, CF",ATK
924,-1.8039471257562292,-1.9664005123825077,0.05415193465550696,162998,RB,DEF
925,-2.085254035169435,-2.836800109123106,-0.2028795684717732,172283,RB,DEF
926,-1.9467393048346744,1.2691006175200814,2.312128456958288,20798,"CAM, CM",MID
927,-2.0646827361084075,-2.703726476412833,-1.22733524539115,165505,CB,DEF
928,-2.3475009156773803,1.4619493911342363,-0.3074570206431269,224473,LM,MID
929,-1.583726460836846,-2.8474815549945065,-0.13252003751792454,146992,LB,DEF
930,-2.31543287591529,-0.862924542450857,0.9376515613954572,139229,"CDM, CB, LB, CM",MID
931,-3.2000900847726483,-0.9595806378383023,0.8882654527885232,182882,"CDM, CM",MID
932,-1.080094576084041,-2.539190402409149,-1.999560609544007,223295,CB,DEF
933,-5.070193175169367,2.5949373838077525,-0.5646018344620012,143001,"ST, CF",ATK
934,-2.464900136171621,2.8966610405437647,-0.9641549209969074,169416,"RW, CAM, ST",ATK
935,-2.4025203851471213,-1.821341250586305,-1.1781692800431816,221923,"RB, LB, CB",DEF
936,-1.5527803905997108,-1.9945138977742296,-0.4980363586729025,187132,CB,DEF
937,-1.8532107947968737,2.7639112516839783,-2.946227744067632,50588,ST,ATK
938,-1.5982396443163596,2.245678551295778,-0.9644346722097876,213152,ST,ATK
939,-1.8825792004212727,-0.05620746502169552,1.738606208971418,200145,CDM,MID
940,23.050726051071717,0.31321953530599006,0.35819103303787875,165769,GK,GK
941,21.94623928524514,-0.3497008188328623,-0.367680486287495,155931,GK,GK
942,-2.053902723331287,-2.7171330432964815,-1.4134392403820384,140274,CB,DEF
943,-0.884220250710996,2.9387238313904547,-1.6972595312901049,205887,ST,ATK
944,-2.6515186092607403,1.8851033784000595,-2.4081384795307965,208603,"ST, RW",ATK
945,-3.320101231363448,2.77347725471407,-1.3340840171417578,198951,"ST, LM, RM",MID
946,-2.5285163824535695,0.7188632064553264,1.5322778248271305,4806,"LM, CM",MID
947,-2.251601205613329,0.06638638450457528,1.3749649136315334,215604,"CDM, CB",DEF
948,-2.375608018584462,-2.687414033730884,-0.3047464724948544,165243,"CB, CDM",MID
949,25.670857582640192,-0.03563792032592943,-0.2177018245538388,116494,GK,GK
950,-1.5973629459491003,-1.9563995554804539,0.1784355219817725,192027,RB,DEF
951,-1.813260925343263,-2.763119582245394,-0.8365689550991985,219680,CB,DEF
952,-2.9428904018985773,-0.5232207338750481,0.6872023755406048,53815,"CDM, CM",MID
953,-2.183174537429359,-1.8652764109781772,-0.4995026648899238,179586,CB,DEF
954,-2.1693349478196815,-0.9388344807506586,0.7527269201955488,201118,RB,DEF
955,-2.2354580865656852,-1.5898767496994473,0.2013682477258844,51620,CB,DEF
956,-1.3016171195258825,-2.4565107399547994,-1.8309989446071788,225934,"CB, CDM",MID
957,-1.587790280024008,1.4246241025120312,-0.014182907953960239,197885,"LM, RM",MID
958,-0.9322550309450689,-0.22471205503012914,0.6804930270503284,229934,CDM,MID
959,-2.34440019832321,0.600217225515532,1.6243574532630922,190799,"CM, CDM",MID
960,-1.73361471474556,-0.06950256895720446,2.137252259042965,198129,CDM,MID
961,-3.4207524575917154,-2.2113357517389005,0.18203347957369864,184432,LB,DEF
962,-2.6665759930025406,1.4961517361543224,0.2163046623002282,140276,"RM, ST",ATK
963,-1.9098315045132082,-3.651957982636265,-0.8607429636732575,10780,CB,DEF
964,-2.48166974546376,2.14990727777982,0.2592078047364425,220084,"RW, CAM",MID
965,-1.93380866306618,-2.703946409062901,-0.08952706078851372,105866,CB,DEF
966,-2.601274414005334,0.3710684096822822,1.1320171525574951,162895,"CM, CAM",MID
967,-2.364095764025146,-0.36910102775312786,1.2836263031007078,180409,CDM,MID
968,-1.2678683543187388,0.012624034008049203,1.7838855803002345,176209,"CDM, CM",MID
969,-1.8261274133482361,0.646668246982822,-0.8461221206291857,222825,"LW, LM, ST",ATK
