,id,player_fifa_api_id,player_api_id,date,overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,player_positions,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,player_name,height,weight,preferred_foot_left,preferred_foot_right,attacking_work_rate_high,attacking_work_rate_low,attacking_work_rate_medium,defensive_work_rate_high,defensive_work_rate_low,defensive_work_rate_medium,player_positions_general
3682,106836,155671,13449,2016-04-28,70.0,70.0,58.0,58.0,70.0,68.0,54.0,58.0,63.0,63.0,69.0,61.0,68.0,67.0,59.0,61.0,61.0,62.0,71.0,88.0,78.0,56.0,77.0,73.0,65.0,67.0,73.0,67.0,71.0,63.0,12.0,12.0,15.0,11.0,16.0,CDM,63,63,63,62,63,63,63,62,63,63,63,64,67,67,67,64,67,70,70,70,67,68,70,70,70,68,Lukasz Tralka,185.42,183,0,1,0,1,0,1,0,0,
3683,106870,188926,116872,2016-03-10,58.0,61.0,49.0,52.0,47.0,55.0,38.0,60.0,50.0,46.0,50.0,63.0,60.0,52.0,85.0,70.0,83.0,63.0,34.0,83.0,47.0,50.0,50.0,66.0,47.0,54.0,44.0,50.0,55.0,53.0,14.0,13.0,11.0,12.0,13.0,CM,55,55,55,57,57,57,57,57,57,57,57,58,58,58,58,58,60,58,58,58,60,59,54,54,54,59,Lukasz Tyminski,172.72,148,0,1,0,0,1,0,0,1,MID
3684,106889,105533,69259,2015-09-25,67.0,67.0,13.0,12.0,14.0,15.0,12.0,15.0,12.0,15.0,14.0,23.0,54.0,41.0,43.0,70.0,46.0,19.0,77.0,28.0,72.0,15.0,42.0,22.0,15.0,19.0,13.0,15.0,15.0,14.0,65.0,66.0,67.0,68.0,69.0,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lukasz Zaluska,187.96,190,0,1,0,0,1,0,0,1,GK
3685,106905,204999,249059,2016-03-10,58.0,63.0,61.0,48.0,46.0,59.0,51.0,53.0,63.0,46.0,62.0,52.0,88.0,74.0,87.0,59.0,86.0,52.0,65.0,84.0,50.0,47.0,58.0,57.0,52.0,56.0,52.0,51.0,53.0,52.0,11.0,15.0,14.0,7.0,15.0,CM,53,53,53,56,54,54,54,56,55,55,55,58,57,57,57,58,61,58,58,58,61,60,54,54,54,60,Lukasz Zejdler,172.72,141,1,0,0,0,1,0,0,1,MID
3686,106913,192319,191132,2016-06-09,69.0,77.0,75.0,45.0,59.0,70.0,44.0,66.0,76.0,74.0,63.0,70.0,74.0,74.0,70.0,66.0,69.0,58.0,71.0,76.0,66.0,63.0,67.0,64.0,64.0,63.0,43.0,68.0,67.0,69.0,14.0,9.0,6.0,15.0,10.0,LB,61,61,61,66,65,65,65,66,66,66,66,68,67,67,67,68,70,68,68,68,70,69,67,67,67,69,Luke Garbutt,177.8,161,1,0,1,0,0,0,0,1,DEF
3687,106949,162313,23788,2015-11-26,67.0,67.0,58.0,64.0,69.0,64.0,69.0,66.0,64.0,51.0,44.0,72.0,78.0,69.0,71.0,69.0,68.0,72.0,69.0,60.0,69.0,57.0,47.0,50.0,63.0,61.0,64.0,17.0,25.0,24.0,8.0,9.0,8.0,14.0,14.0,ST,69,69,69,68,68,68,68,68,66,66,66,66,60,60,60,66,53,50,50,50,53,51,46,46,46,51,Luke Moore,180.34,165,0,1,0,1,0,0,1,0,ATK
3688,106973,205988,362694,2016-01-14,78.0,86.0,76.0,32.0,67.0,75.0,31.0,79.0,63.0,58.0,64.0,76.0,79.0,84.0,80.0,76.0,70.0,50.0,63.0,81.0,77.0,42.0,64.0,75.0,69.0,65.0,53.0,78.0,81.0,80.0,10.0,12.0,13.0,7.0,7.0,LB,62,62,62,70,67,67,67,70,69,69,69,73,71,71,71,73,78,75,75,75,78,78,76,76,76,78,Luke Shaw,185.42,165,1,0,1,0,0,0,0,1,DEF
3689,107001,163351,22959,2016-04-28,66.0,66.0,66.0,63.0,74.0,65.0,54.0,62.0,53.0,42.0,61.0,64.0,75.0,78.0,76.0,66.0,72.0,65.0,91.0,78.0,72.0,63.0,64.0,33.0,64.0,59.0,61.0,33.0,44.0,35.0,16.0,9.0,8.0,14.0,13.0,LW,66,66,66,66,66,66,66,66,65,65,65,66,61,61,61,66,55,55,55,55,55,52,50,50,50,52,Luke Varney,180.34,154,0,1,1,0,0,0,0,1,ATK
3690,107025,226560,609711,2016-04-14,53.0,69.0,39.0,29.0,45.0,41.0,19.0,50.0,31.0,27.0,39.0,37.0,65.0,64.0,58.0,51.0,66.0,36.0,62.0,70.0,62.0,33.0,59.0,53.0,43.0,43.0,33.0,47.0,60.0,55.0,12.0,15.0,13.0,10.0,7.0,LB,43,43,43,45,44,44,44,45,44,44,44,46,45,45,45,46,52,50,50,50,52,53,54,54,54,53,Luke Watt,175.26,154,1,0,0,0,1,0,0,1,DEF
3691,107031,50816,35628,2016-02-18,70.0,70.0,80.0,53.0,70.0,68.0,44.0,65.0,63.0,67.0,74.0,72.0,65.0,64.0,65.0,67.0,70.0,76.0,68.0,70.0,65.0,67.0,73.0,68.0,64.0,67.0,75.0,73.0,72.0,71.0,15.0,13.0,15.0,7.0,7.0,RB,64,64,64,65,65,65,65,65,64,64,64,67,67,67,67,67,69,69,69,69,69,71,69,69,69,71,Luke Wilkshire,175.26,159,0,1,1,0,0,0,0,1,DEF
