,player_positions,player_fifa_api_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,player_positions_general
6189,"RW, RM, LM",198717,-0.35423920222639743,-0.23900593959775207,-0.49132543858360617,-0.7367381053270966,0.9879935156330294,0.2830234369056526,0.5535172917135327,0.35213042281778756,0.38072741514478464,0.01688735919575823,-0.2360088087754963,0.3472071710671001,-0.10827138304338332,0.2363151210795637,MID
6190,"CM, LM, RM",186572,-0.6022687284085444,-0.20727137255051828,-0.6889332451842535,1.0438576225756058,0.3486349396997143,-0.33229706873620446,0.5049722812661259,0.2168442260844695,-0.43523218001823205,-0.15806202875477882,0.302838504463301,-0.007553916695677815,-0.1834524347678633,0.15633083766219913,MID
6191,CB,204638,0.3139480564230473,1.0846178288481885,-0.7455682503833932,0.5755230527111965,0.3868945938836403,-0.1666741123719863,0.4533076005385345,-0.06288929689654338,-0.08760257783557061,-0.2670094830911577,-0.22858376303895245,0.07611126479807913,0.24560122387893504,-0.08903005848758688,DEF
6192,CM,158800,-0.469603414532792,0.7282267793160446,-0.7442677246772074,-0.06304642189020766,0.6413965098722889,-0.38094308290660905,0.37668436387918874,-0.3643968837586517,-0.14591478181815326,-0.08291784108875809,0.03923386850337242,-0.08339471573913329,-0.03226779898668773,0.15599821586200852,MID
6193,"CB, RB",189823,0.3367782315817727,0.6663877733693689,-0.5436935664099207,0.11795215598745212,0.42955329320365543,0.8384392531609494,0.6294531681355252,0.46713871066160007,0.42514956545485616,-0.35014756707157,-0.08925580888413673,-0.0050174728378545325,-0.16943972207367813,0.018292525505760597,DEF
6194,"RM, RW, LW",187150,-0.5085026602892012,-1.0702906933968115,-0.20002705481561905,0.11878723162205879,-0.3395699106571935,-0.05124528235689372,0.4590283108052835,-0.20246654838034922,-0.1970045882987843,-0.08172851797786143,0.06817626889674012,0.09343865469022448,-0.09364978541923394,0.04749948655557691,ATK
6195,"CDM, CM",207566,-0.46667111471091055,1.1843101735130919,-0.776196033720854,0.19043486183338126,0.365917930834214,-0.26686548871868665,0.36764498861995915,-0.522662089373624,0.2535190935121649,-0.12752312880136576,0.026949838589687084,0.223061385457683,0.11102949639193445,0.03388853282988232,MID
6196,GK,212632,2.3894216429630726,-0.6411917291784259,-0.09051469974704146,0.2736682545398703,0.1786733754255068,-0.33198260067320784,0.41865365535959354,-0.0395928427302117,0.20590659369174907,0.09045914641596768,-0.024358356311619433,-0.24392573575840962,0.07805856094628913,-0.04306363193006204,GK
6197,CB,229690,0.8149484658309316,0.527644762895138,-0.2283278956272169,0.004995774124526499,-0.510229727020132,0.3672661120911138,0.510613952970116,-0.0033492098312787985,-0.2517634651771676,-0.28850340265004226,0.10443993417473861,0.02559987248357487,0.006309990889324956,-0.060536917951514495,DEF
6198,ST,225256,0.40880378353983354,-0.27524504304007724,-0.22622461765067214,-0.6158788656179233,-0.008609007335859906,0.05770171444630335,0.43893178601471894,-0.20732749259010813,-0.5264952849405682,-0.2412657787433517,-0.4325221370163656,-0.31270331404530327,-0.04288063511092363,0.11985015015644389,ATK
6199,"CM, CDM",158676,-0.27260439981775614,0.9483630608281575,-0.7188462283925522,0.14591478386314874,0.49877087628514905,-0.35805987451434074,0.4081555448089921,-0.19742483374643977,-0.01284181451888088,-0.010365584715764894,0.34686155761711046,-0.08045668954644596,-0.09930019969152572,0.007245098871108632,
6200,"LB, LM",188560,-0.8048784072818284,-0.21035048729094596,1.0894095888295254,0.6561879056346391,-0.3934140247140174,-0.020374929566923262,0.4938620978826451,-0.14662502305835584,0.18291604500713934,-0.11190152335055556,0.09892517059606512,0.16754368459816377,-0.11056813888285875,0.22570293073383646,MID
6201,CB,188602,0.22405225208238622,0.6590963730443987,-0.24140974433772253,-0.18750407157390936,-0.6087098061932091,0.06712607429791402,0.49552426011901424,0.02599011232643821,0.1470317137676422,-0.21491857433311337,-0.308517204555329,-0.034775664739132246,-0.18649838449664216,-0.07260505449472429,DEF
6202,"CDM, CM",200322,0.09588246392338,0.4045802263714203,-0.2303636415410445,-0.42196419779831407,-0.4351282853490692,-0.019972738289195643,0.4644111288930182,-0.06853103711063853,0.03697884843225403,-0.08513241841702561,0.02594077145020332,-0.18839027243851217,-0.15311926405287574,0.16375359984944224,MID
6203,CB,213414,0.5918465948142497,0.24448511960300853,-0.29853228530050446,0.7368526319906021,-0.7734228924746742,0.7217958773828985,0.5570200716351638,-0.052385905333491495,-0.34452015904708666,0.6974635256685302,-0.4053362205479924,0.10938996862224275,-0.036608112359918246,-0.049273503392712574,DEF
6204,"CDM, CM",181402,-0.1982057521574765,0.5062329335932721,-0.23948305540639184,-0.5035892699842408,-0.5066708058416638,-0.1728490959335981,0.45126095533530597,-0.09463153083002551,0.33730474508147223,0.0013802108397666176,-0.14926557339522328,-0.029989666641380426,-0.07496570719605365,0.2688199670056299,MID
6205,"ST, CF, CAM",195093,-0.1430195217193131,-0.05290500590389415,-0.5499280918142634,-0.5868413205361453,0.9517198702180834,0.720395066207872,0.47766196713630116,-0.30571100653236244,0.35001168166416563,-0.13450049599254385,0.16539060381768528,0.09679180519869818,-0.09267487954742692,0.08290410797644743,MID
6206,"RM, CAM",180403,-1.331918639234887,-0.45484836333710654,-0.6604330905196317,0.5330956892483236,0.5031112331277661,-0.8213675044407182,0.42171518331027913,-0.050925878153777616,0.19095537475639407,0.21034248562787508,0.1985308594689541,0.43604602263771086,-0.15130236994633767,-0.08594286103493876,MID
6207,"CDM, CM",164010,-0.33873838116504557,0.6515519934661671,-0.6699948230030672,-0.014172717770611413,0.6317551306763942,-0.666537584939747,0.470214223792331,0.33639596227259067,-0.20319534889716867,0.10848965680023859,0.06781787563900982,-0.2821225260112966,-0.09443281582977996,0.05773873259052018,MID
