,Title,Embeddings,Algorithm,Num Clusters,Linkage,Affinity,Silhouette Score
0,PCA-with-label_AggClustering_nc:2_link:ward_aff:euclidean,PCA-with-label,Agg_Clustering,2,ward,euclidean,0.5858326671872417
10,PCA-with-label_AggClustering_nc:2_link:complete_aff:euclidean,PCA-with-label,Agg_Clustering,2,complete,euclidean,0.5858326671872417
140,PCA-with-label_AggClustering_nc:2_link:single_aff:manhattan,PCA-with-label,Agg_Clustering,2,single,manhattan,0.5858326671872417
130,PCA-with-label_AggClustering_nc:2_link:single_aff:l2,PCA-with-label,Agg_Clustering,2,single,l2,0.5858326671872417
120,PCA-with-label_AggClustering_nc:2_link:single_aff:l1,PCA-with-label,Agg_Clustering,2,single,l1,0.5858326671872417
110,PCA-with-label_AggClustering_nc:2_link:single_aff:euclidean,PCA-with-label,Agg_Clustering,2,single,euclidean,0.5858326671872417
60,PCA-with-label_AggClustering_nc:2_link:average_aff:euclidean,PCA-with-label,Agg_Clustering,2,average,euclidean,0.5858326671872417
30,PCA-with-label_AggClustering_nc:2_link:complete_aff:l2,PCA-with-label,Agg_Clustering,2,complete,l2,0.5858326671872417
80,PCA-with-label_AggClustering_nc:2_link:average_aff:l2,PCA-with-label,Agg_Clustering,2,average,l2,0.5858326671872417
100,PCA-with-label_AggClustering_nc:2_link:average_aff:cosine,PCA-with-label,Agg_Clustering,2,average,cosine,0.5855482613984981
90,PCA-with-label_AggClustering_nc:2_link:average_aff:manhattan,PCA-with-label,Agg_Clustering,2,average,manhattan,0.5855482613984981
70,PCA-with-label_AggClustering_nc:2_link:average_aff:l1,PCA-with-label,Agg_Clustering,2,average,l1,0.5855482613984981
139,PCA-with-label_AggClustering_nc:20_link:single_aff:l2,PCA-with-label,Agg_Clustering,20,single,l2,0.35821360300724586
119,PCA-with-label_AggClustering_nc:20_link:single_aff:euclidean,PCA-with-label,Agg_Clustering,20,single,euclidean,0.35821360300724586
7,PCA-with-label_AggClustering_nc:16_link:ward_aff:euclidean,PCA-with-label,Agg_Clustering,16,ward,euclidean,0.3580009920075409
6,PCA-with-label_AggClustering_nc:14_link:ward_aff:euclidean,PCA-with-label,Agg_Clustering,14,ward,euclidean,0.34252111135879004
138,PCA-with-label_AggClustering_nc:18_link:single_aff:l2,PCA-with-label,Agg_Clustering,18,single,l2,0.33447145293243313
118,PCA-with-label_AggClustering_nc:18_link:single_aff:euclidean,PCA-with-label,Agg_Clustering,18,single,euclidean,0.33447145293243313
107,PCA-with-label_AggClustering_nc:16_link:average_aff:cosine,PCA-with-label,Agg_Clustering,16,average,cosine,0.33427301967557344
159,PCA-with-label_AggClustering_nc:20_link:single_aff:cosine,PCA-with-label,Agg_Clustering,20,single,cosine,0.33401078597891887
87,PCA-with-label_AggClustering_nc:16_link:average_aff:l2,PCA-with-label,Agg_Clustering,16,average,l2,0.3328501013503187
67,PCA-with-label_AggClustering_nc:16_link:average_aff:euclidean,PCA-with-label,Agg_Clustering,16,average,euclidean,0.3328501013503187
