,Title,Embeddings,Algorithm,Num Clusters,Linkage,Affinity,Silhouette Score
128,PCA-no-label_AggClustering_nc:18_link:single_aff:l1,PCA-no-label,Agg_Clustering,18,single,l1,0.2746135207397233
42,PCA-no-label_AggClustering_nc:6_link:complete_aff:manhattan,PCA-no-label,Agg_Clustering,6,complete,manhattan,0.25332426290622634
22,PCA-no-label_AggClustering_nc:6_link:complete_aff:l1,PCA-no-label,Agg_Clustering,6,complete,l1,0.25332426290622634
39,PCA-no-label_AggClustering_nc:20_link:complete_aff:l2,PCA-no-label,Agg_Clustering,20,complete,l2,0.2481466467758473
19,PCA-no-label_AggClustering_nc:20_link:complete_aff:euclidean,PCA-no-label,Agg_Clustering,20,complete,euclidean,0.2481466467758473
44,PCA-no-label_AggClustering_nc:10_link:complete_aff:manhattan,PCA-no-label,Agg_Clustering,10,complete,manhattan,0.24783372643417667
24,PCA-no-label_AggClustering_nc:10_link:complete_aff:l1,PCA-no-label,Agg_Clustering,10,complete,l1,0.24783372643417667
122,PCA-no-label_AggClustering_nc:6_link:single_aff:l1,PCA-no-label,Agg_Clustering,6,single,l1,0.24583208583718388
142,PCA-no-label_AggClustering_nc:6_link:single_aff:manhattan,PCA-no-label,Agg_Clustering,6,single,manhattan,0.24583208583718388
38,PCA-no-label_AggClustering_nc:18_link:complete_aff:l2,PCA-no-label,Agg_Clustering,18,complete,l2,0.241924105222297
18,PCA-no-label_AggClustering_nc:18_link:complete_aff:euclidean,PCA-no-label,Agg_Clustering,18,complete,euclidean,0.241924105222297
121,PCA-no-label_AggClustering_nc:4_link:single_aff:l1,PCA-no-label,Agg_Clustering,4,single,l1,0.24190383843231147
141,PCA-no-label_AggClustering_nc:4_link:single_aff:manhattan,PCA-no-label,Agg_Clustering,4,single,manhattan,0.24190383843231147
37,PCA-no-label_AggClustering_nc:16_link:complete_aff:l2,PCA-no-label,Agg_Clustering,16,complete,l2,0.23727017788557864
17,PCA-no-label_AggClustering_nc:16_link:complete_aff:euclidean,PCA-no-label,Agg_Clustering,16,complete,euclidean,0.23727017788557864
76,PCA-no-label_AggClustering_nc:14_link:average_aff:l1,PCA-no-label,Agg_Clustering,14,average,l1,0.233393310447102
96,PCA-no-label_AggClustering_nc:14_link:average_aff:manhattan,PCA-no-label,Agg_Clustering,14,average,manhattan,0.233393310447102
1,PCA-no-label_AggClustering_nc:4_link:ward_aff:euclidean,PCA-no-label,Agg_Clustering,4,ward,euclidean,0.23336742939934493
46,PCA-no-label_AggClustering_nc:14_link:complete_aff:manhattan,PCA-no-label,Agg_Clustering,14,complete,manhattan,0.2284311764228611
26,PCA-no-label_AggClustering_nc:14_link:complete_aff:l1,PCA-no-label,Agg_Clustering,14,complete,l1,0.2284311764228611
137,PCA-no-label_AggClustering_nc:16_link:single_aff:l2,PCA-no-label,Agg_Clustering,16,single,l2,0.22668321629894905
117,PCA-no-label_AggClustering_nc:16_link:single_aff:euclidean,PCA-no-label,Agg_Clustering,16,single,euclidean,0.22668321629894905
49,PCA-no-label_AggClustering_nc:20_link:complete_aff:manhattan,PCA-no-label,Agg_Clustering,20,complete,manhattan,0.2265649510705851
29,PCA-no-label_AggClustering_nc:20_link:complete_aff:l1,PCA-no-label,Agg_Clustering,20,complete,l1,0.2265649510705851
36,PCA-no-label_AggClustering_nc:14_link:complete_aff:l2,PCA-no-label,Agg_Clustering,14,complete,l2,0.2257731390783309
16,PCA-no-label_AggClustering_nc:14_link:complete_aff:euclidean,PCA-no-label,Agg_Clustering,14,complete,euclidean,0.2257731390783309
131,PCA-no-label_AggClustering_nc:4_link:single_aff:l2,PCA-no-label,Agg_Clustering,4,single,l2,0.2242795396733981
111,PCA-no-label_AggClustering_nc:4_link:single_aff:euclidean,PCA-no-label,Agg_Clustering,4,single,euclidean,0.2242795396733981
74,PCA-no-label_AggClustering_nc:10_link:average_aff:l1,PCA-no-label,Agg_Clustering,10,average,l1,0.2233260476936387
94,PCA-no-label_AggClustering_nc:10_link:average_aff:manhattan,PCA-no-label,Agg_Clustering,10,average,manhattan,0.2233260476936387
101,PCA-no-label_AggClustering_nc:4_link:average_aff:cosine,PCA-no-label,Agg_Clustering,4,average,cosine,0.22313009374867093
75,PCA-no-label_AggClustering_nc:12_link:average_aff:l1,PCA-no-label,Agg_Clustering,12,average,l1,0.2203214525130313
95,PCA-no-label_AggClustering_nc:12_link:average_aff:manhattan,PCA-no-label,Agg_Clustering,12,average,manhattan,0.2203214525130313
123,PCA-no-label_AggClustering_nc:8_link:single_aff:l1,PCA-no-label,Agg_Clustering,8,single,l1,0.22015032397203724
143,PCA-no-label_AggClustering_nc:8_link:single_aff:manhattan,PCA-no-label,Agg_Clustering,8,single,manhattan,0.22015032397203724
81,PCA-no-label_AggClustering_nc:4_link:average_aff:l2,PCA-no-label,Agg_Clustering,4,average,l2,0.21899299054925578
61,PCA-no-label_AggClustering_nc:4_link:average_aff:euclidean,PCA-no-label,Agg_Clustering,4,average,euclidean,0.21899299054925578
59,PCA-no-label_AggClustering_nc:20_link:complete_aff:cosine,PCA-no-label,Agg_Clustering,20,complete,cosine,0.2168460612606033
47,PCA-no-label_AggClustering_nc:16_link:complete_aff:manhattan,PCA-no-label,Agg_Clustering,16,complete,manhattan,0.21610008633422936
27,PCA-no-label_AggClustering_nc:16_link:complete_aff:l1,PCA-no-label,Agg_Clustering,16,complete,l1,0.21610008633422936
154,PCA-no-label_AggClustering_nc:10_link:single_aff:cosine,PCA-no-label,Agg_Clustering,10,single,cosine,0.21602059452363978
40,PCA-no-label_AggClustering_nc:2_link:complete_aff:manhattan,PCA-no-label,Agg_Clustering,2,complete,manhattan,0.20820441415721272
20,PCA-no-label_AggClustering_nc:2_link:complete_aff:l1,PCA-no-label,Agg_Clustering,2,complete,l1,0.20820441415721272
25,PCA-no-label_AggClustering_nc:12_link:complete_aff:l1,PCA-no-label,Agg_Clustering,12,complete,l1,0.20813384477913066
45,PCA-no-label_AggClustering_nc:12_link:complete_aff:manhattan,PCA-no-label,Agg_Clustering,12,complete,manhattan,0.20813384477913066
145,PCA-no-label_AggClustering_nc:12_link:single_aff:manhattan,PCA-no-label,Agg_Clustering,12,single,manhattan,0.2080661712763767
125,PCA-no-label_AggClustering_nc:12_link:single_aff:l1,PCA-no-label,Agg_Clustering,12,single,l1,0.2080661712763767
35,PCA-no-label_AggClustering_nc:12_link:complete_aff:l2,PCA-no-label,Agg_Clustering,12,complete,l2,0.2069148494478243
15,PCA-no-label_AggClustering_nc:12_link:complete_aff:euclidean,PCA-no-label,Agg_Clustering,12,complete,euclidean,0.2069148494478243
28,PCA-no-label_AggClustering_nc:18_link:complete_aff:l1,PCA-no-label,Agg_Clustering,18,complete,l1,0.20118112673862307
48,PCA-no-label_AggClustering_nc:18_link:complete_aff:manhattan,PCA-no-label,Agg_Clustering,18,complete,manhattan,0.20118112673862307
146,PCA-no-label_AggClustering_nc:14_link:single_aff:manhattan,PCA-no-label,Agg_Clustering,14,single,manhattan,0.1959712048951802
126,PCA-no-label_AggClustering_nc:14_link:single_aff:l1,PCA-no-label,Agg_Clustering,14,single,l1,0.1959712048951802
14,PCA-no-label_AggClustering_nc:10_link:complete_aff:euclidean,PCA-no-label,Agg_Clustering,10,complete,euclidean,0.19195234900605024
34,PCA-no-label_AggClustering_nc:10_link:complete_aff:l2,PCA-no-label,Agg_Clustering,10,complete,l2,0.19195234900605024
58,PCA-no-label_AggClustering_nc:18_link:complete_aff:cosine,PCA-no-label,Agg_Clustering,18,complete,cosine,0.19185137067029243
144,PCA-no-label_AggClustering_nc:10_link:single_aff:manhattan,PCA-no-label,Agg_Clustering,10,single,manhattan,0.19094474808222803
124,PCA-no-label_AggClustering_nc:10_link:single_aff:l1,PCA-no-label,Agg_Clustering,10,single,l1,0.19094474808222803
52,PCA-no-label_AggClustering_nc:6_link:complete_aff:cosine,PCA-no-label,Agg_Clustering,6,complete,cosine,0.18726095646221466
55,PCA-no-label_AggClustering_nc:12_link:complete_aff:cosine,PCA-no-label,Agg_Clustering,12,complete,cosine,0.18722517584587717
153,PCA-no-label_AggClustering_nc:8_link:single_aff:cosine,PCA-no-label,Agg_Clustering,8,single,cosine,0.18662978381859965
91,PCA-no-label_AggClustering_nc:4_link:average_aff:manhattan,PCA-no-label,Agg_Clustering,4,average,manhattan,0.1806869709826917
71,PCA-no-label_AggClustering_nc:4_link:average_aff:l1,PCA-no-label,Agg_Clustering,4,average,l1,0.1806869709826917
57,PCA-no-label_AggClustering_nc:16_link:complete_aff:cosine,PCA-no-label,Agg_Clustering,16,complete,cosine,0.18053674676886966
33,PCA-no-label_AggClustering_nc:8_link:complete_aff:l2,PCA-no-label,Agg_Clustering,8,complete,l2,0.1747730430970708
13,PCA-no-label_AggClustering_nc:8_link:complete_aff:euclidean,PCA-no-label,Agg_Clustering,8,complete,euclidean,0.1747730430970708
32,PCA-no-label_AggClustering_nc:6_link:complete_aff:l2,PCA-no-label,Agg_Clustering,6,complete,l2,0.17470865659133877
12,PCA-no-label_AggClustering_nc:6_link:complete_aff:euclidean,PCA-no-label,Agg_Clustering,6,complete,euclidean,0.17470865659133877
54,PCA-no-label_AggClustering_nc:10_link:complete_aff:cosine,PCA-no-label,Agg_Clustering,10,complete,cosine,0.17357997836885306
11,PCA-no-label_AggClustering_nc:4_link:complete_aff:euclidean,PCA-no-label,Agg_Clustering,4,complete,euclidean,0.1729110996355429
31,PCA-no-label_AggClustering_nc:4_link:complete_aff:l2,PCA-no-label,Agg_Clustering,4,complete,l2,0.1729110996355429
56,PCA-no-label_AggClustering_nc:14_link:complete_aff:cosine,PCA-no-label,Agg_Clustering,14,complete,cosine,0.1681065824580979
100,PCA-no-label_AggClustering_nc:2_link:average_aff:cosine,PCA-no-label,Agg_Clustering,2,average,cosine,0.1645780774410065
151,PCA-no-label_AggClustering_nc:4_link:single_aff:cosine,PCA-no-label,Agg_Clustering,4,single,cosine,0.15972571280900327
50,PCA-no-label_AggClustering_nc:2_link:complete_aff:cosine,PCA-no-label,Agg_Clustering,2,complete,cosine,0.15781607761480063
53,PCA-no-label_AggClustering_nc:8_link:complete_aff:cosine,PCA-no-label,Agg_Clustering,8,complete,cosine,0.15759218122170474
73,PCA-no-label_AggClustering_nc:8_link:average_aff:l1,PCA-no-label,Agg_Clustering,8,average,l1,0.15674082205580556
93,PCA-no-label_AggClustering_nc:8_link:average_aff:manhattan,PCA-no-label,Agg_Clustering,8,average,manhattan,0.15674082205580556
92,PCA-no-label_AggClustering_nc:6_link:average_aff:manhattan,PCA-no-label,Agg_Clustering,6,average,manhattan,0.15473250720089204
72,PCA-no-label_AggClustering_nc:6_link:average_aff:l1,PCA-no-label,Agg_Clustering,6,average,l1,0.15473250720089204
150,PCA-no-label_AggClustering_nc:2_link:single_aff:cosine,PCA-no-label,Agg_Clustering,2,single,cosine,0.14322225561690186
132,PCA-no-label_AggClustering_nc:6_link:single_aff:l2,PCA-no-label,Agg_Clustering,6,single,l2,0.14278665551340178
112,PCA-no-label_AggClustering_nc:6_link:single_aff:euclidean,PCA-no-label,Agg_Clustering,6,single,euclidean,0.14278665551340178
152,PCA-no-label_AggClustering_nc:6_link:single_aff:cosine,PCA-no-label,Agg_Clustering,6,single,cosine,0.14087637900013333
51,PCA-no-label_AggClustering_nc:4_link:complete_aff:cosine,PCA-no-label,Agg_Clustering,4,complete,cosine,0.13884506302673316
136,PCA-no-label_AggClustering_nc:14_link:single_aff:l2,PCA-no-label,Agg_Clustering,14,single,l2,0.13485263149076782
116,PCA-no-label_AggClustering_nc:14_link:single_aff:euclidean,PCA-no-label,Agg_Clustering,14,single,euclidean,0.13485263149076782
133,PCA-no-label_AggClustering_nc:8_link:single_aff:l2,PCA-no-label,Agg_Clustering,8,single,l2,0.12980219408784271
113,PCA-no-label_AggClustering_nc:8_link:single_aff:euclidean,PCA-no-label,Agg_Clustering,8,single,euclidean,0.12980219408784271
90,PCA-no-label_AggClustering_nc:2_link:average_aff:manhattan,PCA-no-label,Agg_Clustering,2,average,manhattan,0.12439714752751573
70,PCA-no-label_AggClustering_nc:2_link:average_aff:l1,PCA-no-label,Agg_Clustering,2,average,l1,0.12439714752751573
41,PCA-no-label_AggClustering_nc:4_link:complete_aff:manhattan,PCA-no-label,Agg_Clustering,4,complete,manhattan,0.12024076928114771
21,PCA-no-label_AggClustering_nc:4_link:complete_aff:l1,PCA-no-label,Agg_Clustering,4,complete,l1,0.12024076928114771
134,PCA-no-label_AggClustering_nc:10_link:single_aff:l2,PCA-no-label,Agg_Clustering,10,single,l2,0.11379769406343272
114,PCA-no-label_AggClustering_nc:10_link:single_aff:euclidean,PCA-no-label,Agg_Clustering,10,single,euclidean,0.11379769406343272
135,PCA-no-label_AggClustering_nc:12_link:single_aff:l2,PCA-no-label,Agg_Clustering,12,single,l2,0.0981464020283056
115,PCA-no-label_AggClustering_nc:12_link:single_aff:euclidean,PCA-no-label,Agg_Clustering,12,single,euclidean,0.0981464020283056
